,Restoran
0,gungor-iskembe-kebap-hurriyet-mah-gaziosmanpasa-istanbul
1,altmis-sekiz-kebap-lahmacun-cevatpasa-mah-bayrampasa-istanbul
2,gungor-iskembe-kebap-salonu-merkez-mah-gaziosmanpasa-istanbul
3,kebapci-ahmet-usta-gaziosmanpasa-yildiztabya-mah-gaziosmanpasa-istanbul
4,g-o-pasa-sark-sofrasi-merkez-mah-gaziosmanpasa-istanbul
5,durumcu-sedat-usta-merkez-mah-gaziosmanpasa-istanbul
6,hak-et-mangal-pazarici-mah-gaziosmanpasa-istanbul
7,sahkonak-restoran-karayollari-mah-gaziosmanpasa-istanbul
8,altin-kasap-et-mangal-merkez-mah-eyupsultan-istanbul
9,meshur-lahmacuncu-samir-yenidogan-mah-bayrampasa-istanbul
10,kebapci-ahmet-usta-gaziosmanpasa-yildiztabya-mah-gaziosmanpasa-istanbul
11,besyuzevler-sark-sofrasi-yildirim-mah-bayrampasa-istanbul
12,anteplioglu-kebap-iskender-merkez-mah-gaziosmanpasa-istanbul
13,konyali-kosk-gaziosmanpasa-istanbul
14,ramiz-usta-ocakbasi-merkez-mah-gaziosmanpasa-istanbul
